въ|58774|---------n|
концъ|64399|-s---ma--i|
въ|58774|---------n|
пѣнъіхъ|68823|-p---nl--i|
разѹмъ|64017|-s---ma--i|
д҃авід҃ов҃ъ|64023|-s---mnpsi|
псалмъ|69176|-s---mn--i|
въѹші|150229|2spma----i|
бж҃е|60009|-s---mv--i|
молітвѫ|59126|-s---fa--i|
моѭ|58929|1s---fa--i|
і|58771|---------n|
не|58767|---------n|
прѣзърі|83523|2spma----i|
моленъѣ|84527|-s---ng--i|
моего|58929|1s---ng--i|
вонъмі|81174|2spma----i|
і|58771|---------n|
ѹслъіші|64238|2spma----i|
мѧ|58807|1s---pa--i|
въскръбѣхъ|150227|1saia----i|
печальѭ|66757|-s---fi--i|
моеѭ|58929|1s---fi--i|
і|58771|---------n|
съмѧ|67604|1saia----i|
сѧ|58829|3s---qa--i|
отъ|58785|---------n|
гласа|58926|-s---mg--i|
вражьѣ|138060|-s---mgpsi|
отъ|58785|---------n|
сътѫжаньѣ|124176|-s---ng--i|
грѣшьніча|150230|-s---ngpsi|
ѣко|72150|---------n|
ѹклонішѧ|69266|3paia----i|
на|58783|---------n|
мѧ|58807|1s---pa--i|
безаконнъе|73662|-s---na--i|
і|58771|---------n|
вь|58774|---------n|
гнѣвѣ|65122|-s---ml--i|
вражьдовахѫ|136489|3piia----i|
мнѣ|58807|1s---pd--i|
ср҃дце|58805|-s---nn--i|
мое|58929|1s---nn--i|
съмѧте|67604|3saia----i|
сѧ|58829|3s---qa--i|
во|58774|---------n|
мнѣ|58807|1s---pl--i|
і|58771|---------n|
страхъ|59228|-s---mn--i|
съмрътьнъіі|65966|-s---mnpwi|
нападе|65662|3saia----i|
на|58783|---------n|
мѧ|58807|1s---pa--i|
боѣзнъ|136482|-s---fn--i|
і|58771|---------n|
трепетъ|65943|-s---mn--i|
пріде|58916|3saia----i|
на|58783|---------n|
мѧ|58807|1s---pa--i|
і|58771|---------n|
покръі|68405|3saia----i|
мѧ|58807|1s---ma--i|
тъма|65883|-s---fn--i|
і|58771|---------n|
рѣхъ|58793|1saia----i|
къто|59233|-s---qn--i|
дастъ|58843|3spia----i|
мнѣ|58807|1s---md--i|
крілѣ|67796|-d---na--i|
ѣко|85825|---------n|
голѫбі|58924|-s---mg--i|
і|58771|---------n|
полештѭ|150231|1spia----i|
і|58771|---------n|
почіѭ|66566|1spia----i|
се|59292|---------n|
ѹдаліхъ|117882|1saia----i|
сѧ|58829|3s---qa--i|
бѣгаѧ|64415|-sppamn-si|
і|58771|---------n|
въдворіхъ|67234|1saia----i|
сѧ|58829|3s---qa--i|
въ|58774|---------n|
пѹстъіні|58875|-s---fl--i|
діѣпсал|150232|---------n|
чаахъ|65910|1siia----i|
б҃а|60009|-s---mg--i|
сп҃аѭштаго|68734|-sppamg-wi|
мѧ|58807|1s---pa--i|
отъ|58785|---------n|
прѣнемаганьѣ|150233|-s---ng--i|
дх҃а|58909|-s---mg--i|
і|58771|---------n|
бѹрѧ|66787|-s---fg--i|
потопі|67398|2spma----i|
г҃і|58858|-s---mv--i|
і|58771|---------n|
раздѣлі|66196|2spma----i|
ѧзъі|59128|-p---ma--i|
іхъ|58765|3p---mg--i|
ѣко|72150|---------n|
відѣхъ|58918|1saia----i|
безаконенье|73662|-s---na--i|
і|58771|---------n|
прѣрѣканъе|138244|-s---na--i|
въ|58774|---------n|
градѣ|59272|-s---ml--i|
денъ|58915|-s---ma--i|
і|58771|---------n|
ноштъ|59412|-s---fa--i|
обідетъ|69992|3spia----i|
тѧ|58769|2s---ma--i|
по|58960|---------n|
стѣнамъ|82924|-p---fd--i|
его|58765|3s---mg--i|
безаконнъе|73662|-s---nn--i|
і|58771|---------n|
трѹдъ|68611|-s---mn--i|
посрѣдѣ|79093|---------n|
его|58765|3s---mg--i|
неправъда|68736|-s---fn--i|
і|58771|---------n|
не|58767|---------n|
оскѫдѣ|68851|3saia----i|
отъ|58785|---------n|
пѫті|58763|-s---mg--i|
его|58765|3s---mg--i|
ліхва|68956|-s---fn--i|
і|58771|---------n|
льстъ|64213|-s---fn--i|
ѣко|72150|---------n|
аште|58819|---------n|
мі|58807|1s---md--i|
бі|58773|3spsa----i|
врагъ|64025|-s---mn--i|
поносілъ|65880|-sspamn-si|
прѣтръпѣлъ|64397|-sspamn-si|
ѹбо|58911|---------n|
бімъ|58773|1spsa----i|
і|58771|---------n|
аште|58819|---------n|
бі|58773|3spsa----i|
ненавідѧі|64396|-sppamn-wi|
мне|58807|1s---pg--i|
на|58783|---------n|
мѧ|58807|1s---pa--i|
велърѣчевалъ|150234|-sspamn-si|
ѹкръілъ|68963|-sspamn-si|
сѧ|58829|3s---qa--i|
бімъ|58773|1spsa----i|
ѹбо|58911|---------n|
отъ|58785|---------n|
него|58765|3s---mg--i|
тъі|58769|2s---mn--i|
же|58808|---------n|
чв҃че|59198|-s---mv--i|
равьнодш҃ьне|150235|-s---mvpsi|
вл҃ко|67715|-s---mv--i|
моі|58929|1s---mv--i|
знанъе|67731|-s---nn--i|
мое|58929|1s---nn--i|
іже|58800|-s---mn--i|
кѹпьно|67033|---------n|
насаділъ|83423|-sspamn-si|
мнѣ|58807|1s---md--i|
брашьна|67757|-s---ng--i|
въ|58774|---------n|
храмѣ|59125|-s---ml--i|
бж҃ьі|59032|-s---mlpsi|
ходіховѣ|58986|1daia----i|
іномъшленьемъ|150236|-s---ni--i|
да|60071|---------n|
прідетъ|58916|3spia----i|
съмръть|64177|-s---fn--i|
на|58783|---------n|
нѧ|58765|3p---pa--i|
сънідѫтъ|65861|3ppia----i|
въ|58774|---------n|
адъ|67495|-s---ma--i|
жіві|60155|-p---mnpsi|
ѣко|72150|---------n|
зълоба|66529|-s---fn--i|
въ|58774|---------n|
жіліштіхъ|59408|-p---nl--i|
іхъ|58765|3p---mg--i|
посрѣдѣ|79093|---------n|
іхъ|58765|3p---mg--i|
азъ|58807|1s---qn--i|
къ|58898|---------n|
б҃ѹ|60009|-s---md--i|
возьвахъ|59054|1saia----i|
і|58771|---------n|
г҃ъ|58858|-s---mn--i|
ѹслъша|64238|3saia----i|
мѧ|58807|1s---pa--i|
вечеръ|65074|-s---ma--i|
і|58771|---------n|
ютро|69022|-s---na--i|
і|58771|---------n|
полѹ|59045|-s---mg--i|
дъне|58915|-s---mg--i|
повѣмъ|60271|1spia----i|
възвѣштѫ|64057|1spia----i|
ѣко|58792|---------n|
ѹслъіша|64238|3saia----i|
гласъ|58926|-s---ma--i|
моі|58929|1s---ma--i|
ізбавітъ|66370|3spia----i|
міромъ|69989|-s---mi--i|
дш҃ѫ|60303|-s---fa--i|
моѭ|58929|1s---fa--i|
отъ|58785|---------n|
прібліжаѭштііхъ|66856|-pppamg-wi|
сѧ|58829|3s---qa--i|
мнѣ|58807|1s---pd--i|
ѣко|72150|---------n|
во|58774|---------n|
мноѕѣхъ|58961|-p---plpsi|
бѣахѫ|58773|3piia----i|
съ|58764|---------n|
мноѭ|58807|1s---pi--i|
ѹслъітъ|64238|3spia----i|
б҃ъ|60009|-s---mn--i|
і|58771|---------n|
съмѣрітъ|67397|3spia----i|
ѧ|58765|3p---pa--i|
съі|58773|-sppamn-si|
прѣжде|65945|---------n|
вѣкъ|59093|-p---mg--i|
нѣстъ|58890|3spia----i|
бо|58825|---------n|
імъ|58765|3p---pd--i|
ізмѣненьѣ|78989|-s---ng--i|
ѣко|72150|---------n|
і|58901|---------n|
не|58767|---------n|
ѹбоѣшѧ|59760|3paia----i|
сѧ|58829|3s---qa--i|
б҃а|60009|-s---mg--i|
прострѣтъ|64138|3saia----i|
рѫкѫ|58831|-s---fa--i|
своѭ|58780|3s---fa--i|
на|58783|---------n|
възданіе|150238|-s---na--i|
