form,lemma,id,lemma_id,sentence_id,pos,morphology
ВЪ,въ,2341134,58774,219473,R-,---------n
И҃,дъва десѧти,2341135,139402,219473,Ma,---------n
В҃,триѥ,2342238,64448,219473,Ma,---------n
ДЬНЬ,дьнь,2341136,58915,219473,Nb,-s---ma--i
КЛꙆМЕНТА,климентъ,2341137,149616,219473,Ne,-s---mg--i
Бъ҃,богъ,2341138,60009,219713,Nb,-s---mn--i
ꙇже,иже,2341139,58800,219713,Pr,-s---mn--i
нъи,мꙑ,2341140,59257,219713,Pp,1p---qa--i
лѣтa,лѣто,2341141,60331,219713,Nb,-s---ng--i
огрѧдѫцѣ,огрѧсти,2341142,150465,219713,V-,-sppang-si
блaженaго,блаженъ,2341143,66920,219713,A-,-s---mgpwi
климентa,климентъ,2341144,149616,219713,Ne,-s---mg--i
мѫченікa,мѫченикъ,2341145,80871,219713,Nb,-s---mg--i
твоего,твои,2341146,58814,219713,Ps,2s---mg--i
ꙇ,и,2341147,58771,219713,C-,---------n
пaпежa,папежь,2341148,149726,219713,Nb,-s---mg--i
чьстьѭ,чьсть,2341149,66296,219713,Nb,-s---fi--i
веселішꙇ,веселити,2341150,68682,219713,V-,2spia----i
подaзь,подати,2341151,66669,219713,V-,2spma----i
мілостівъі,милостивъ,2341152,67983,219713,A-,-s---mnpwi
дa,да,2341153,58766,219713,G-,---------n
егоже,иже,2341154,58800,219713,Pr,-s---mg--i
чьсть,чьсть,2341155,66296,219713,Nb,-s---fa--i
чьстімъ,чьстити,2341156,82827,219713,V-,1ppia----i
сілоѭ,сила,2341157,60105,219713,Nb,-s---fi--i
ѹбо,оубо,2341158,58911,219713,Df,---------n
мѫчениѣ,мѫчениѥ,2341159,80844,219713,Nb,-s---ng--i
его,и,2341160,58765,219713,Pp,3s---mg--i
нaслѣдѹемъ,наслѣдовати,2341161,69613,219713,V-,1ppia----i
г҃мь,господь,2341162,58858,219713,Nb,-s---mi--i
НАДЪ,надъ,2341163,67778,219479,R-,---------n
ОПЛАТМЬ,оплатъ,2341164,150466,219479,Nb,-s---mi--i
Ровaниѧ,рованиѩ,2341165,150484,219714,Nb,-p---fa--i
г҃і,господь,2341166,58858,219714,Nb,-s---mv--i
прінесенъиѧ,принести,2341167,60002,219714,V-,-puppfa-si
свѧті,свѧтити,2341168,66350,219714,V-,2spma----i
ꙇ,и,2341169,58771,219480,C-,---------n
ходaтaѧцю,ходатаити,2341170,150468,219480,V-,-sppamd-si
блaженѹмѹ,блаженъ,2341171,66920,219480,A-,-s---mdpwi
климентѹ,климентъ,2341172,149616,219480,Ne,-s---md--i
мѫченикѹ,мѫченикъ,2341173,80871,219480,Nb,-s---md--i
твоемѹ,твои,2341174,58814,219480,Ps,2s---md--i
симь,сь,2341175,59234,219480,Pd,-s---ni--i
нъи,мꙑ,2341176,59257,219480,Pp,1p---pa--i
отъ,отъ,2341177,58785,219480,R-,---------n
грѣхъ,грѣхъ,2341178,58872,219480,Nb,-p---mg--i
скврьностиꙇ,скврьность,2341179,150469,219480,Nb,-p---fg--i
нaшꙇхъ,нашь,2341180,58994,219480,Ps,1p---mg--i
очісті,очистити,2341181,67828,219480,V-,2spma----i
г҃мь,господь,2341182,58858,219480,Nb,-s---mi--i
ПРѢФАЦИѢ,прѣфациꙗ,2341183,150470,219483,Nb,-s---fn--i
ДО,достоинъ,2341184,58891,219484,A-,---------n
вѣчьнъі,вѣчьнъ,2341185,65624,219715,A-,-s---mnpwi
б҃же,богъ,2341186,60009,219715,Nb,-s---mv--i
Ч]ьстьнaго,чьстьнъ,2341187,67995,219715,A-,-s---mgpwi
климентa,климентъ,2341188,149616,219715,Ne,-s---mg--i
зaконьнікa,законьникъ,2341189,68023,219715,Nb,-s---mg--i
ꙇ,и,2341190,58771,219715,C-,---------n
мѫченікa,мѫченикъ,2341191,80871,219715,Nb,-s---mg--i
чьсті,чьсть,2341192,66296,219715,Nb,-p---fa--i
чьстѧце,чьстити,2341193,82827,219715,V-,-pppamn-si
ꙇже,иже,2341194,58800,219715,Pr,-s---mn--i
ѹтѧже,оутѧгнѫти,2341195,150471,219715,V-,3saia----i
бъиті,бꙑти,2341196,58773,219715,V-,--pna----i
блaженѹмѹ,блаженъ,2341197,66920,219715,A-,-s---mdpwi
aпостолѹ,апостолъ,2341198,66565,219715,Nb,-s---md--i
твоемѹ,твои,2341199,58814,219715,Ps,2s---md--i
петрѹ,петръ,2341200,59281,219715,Ne,-s---md--i
въ,въ,2341201,58774,219715,R-,---------n
інокості,инокость,2341202,150472,219715,Nb,-s---fl--i
подрѹгъ,подроугъ,2341203,78294,219715,Nb,-s---mn--i
въ,въ,2341204,58774,219715,R-,---------n
исповѣді,исповѣдь,2341205,150473,219715,Nb,-s---fl--i
ѹченікъ,оученикъ,2341206,59097,219715,Nb,-s---mn--i
въ,въ,2341207,58774,219715,R-,---------n
чьсті,чьсть,2341208,66296,219715,Nb,-s---fl--i
нaмѣстьнікъ,намѣстьникъ,2341209,119940,219715,Nb,-s---mn--i
въ,въ,2341210,58774,219715,R-,---------n
мѫчениі,мѫчениѥ,2341211,80844,219715,Nb,-s---nl--i
нaслѣдьнкъ,наслѣдьникъ,2341212,59548,219715,Nb,-s---mn--i
х҃мь,христ(ос)ъ,2341213,64943,219715,Ne,-s---mi--i
