to|pron_hard
na|
tę|ty
ostavi|40
tu|
darъ|masc_o_u
tvojь|pron_soft
perdъ|
olъtaŕemь|masc_ar
i|
šьdъ|jьti
perђe|
sъmiri|40
sę|sę
﻿sъ|
bratromь|masc_o
svojimь|pron_soft
i|
tъgъda|
prišьdъ|jьti
prinesi|11
darъ|masc_o_u
tvojь|pron_soft
bǫdi|byti
uvěšћǞję|54
sę|sę
﻿sъ|
sǫpьŕemь|masc_jo
svojimь|pron_soft
skoro|
dońьdeže|
jesi|byti
na|
pǫti|masc_i
﻿sъ|
ńimь|jь
da|
ne|
perdastъ|dati
tebe|ty
sǫdьji|masc_ji
i|
sǫdьji|masc_ji
tę|ty
perdastъ|dati
slugě|masc_a
i|
vъ|
tьmьnikǫ|fem_a_PV3
vъvŕ̥žetъ|14
tę|ty
aminь|
golgoĺǫ|52
tebě|ty
ne|
jьzidetъ|jьti
otъtǫdě|
dońьdeže|
vъzdasi|dati
poslědьńь|adj_soft
kodrantъ|masc_o
slyšǞste|31
ako|
rečeno|11
bystъ|byti
drevĺьńemъjimъ|adj_soft
ne|
perĺuby|fem_uu
sъtvoriši|40
azъ|azъ
že|
golgoĺǫ|52
vamъ|ty
ako|
vьxakъ|pron_hard
jьže|jьže
vъzьritъ|31
na|
ženǫ|fem_a
﻿sъ|
poxotьjǫ|fem_i
juže|
ĺuby|fem_uu
sъtvori|40
﻿sъ|
ńejǫ|jь
vъ|
sŕ̥dьki|nt_o_PV3
svojemь|pron_soft
aћe|
že|
oko|oko
tvoje|pron_soft
desnoje|adj_hard
sъblažńǞjetъ|54
tę|ty
jьzьmi|12
je|jь
i|
vŕ̥gi|14
otъ|
tebe|ty
uńe|adj_soft_comp
bo|
ti|ty
jestъ|byti
da|
pogybĺetъ|52
jedinъ|pron_hard
udъ|masc_u
tvojixъ|pron_soft
a|
ne|
vьxe|vьxь
tělo|nt_S
tvoje|pron_soft
vъvŕ̥ženo|14
bǫdetъ|byti
vъ|
ǵejonǫ|fem_a
i|
aћe|
desna|adj_hard
tvojǞ|pron_soft
rǫka|fem_a
sъblažńǞjetъ|54
tę|ty
usěki|11
jǫ|jь
i|
vŕ̥gi|14
otъ|
sebe|sę
uńe|adj_soft_comp
bo|
ti|ty
jestъ|byti
da|
pogybĺetъ|52
jedinъ|pron_hard
udъ|masc_u
tvojixъ|pron_soft
a|
ne|
vьxe|vьxь
tělo|nt_S
tvoje|pron_soft
jьdetъ|jьti
vъ|
ǵejonǫ|fem_a
rečeno|11
že|
bystъ|byti
jьže|jьže
aћe|
pustitъ|40
ženǫ|fem_a
svojǫ|pron_soft
da|
dastъ|dati
jejь|jь
kъńigy|fem_a
orspustьnyję|adj_hard
azъ|azъ
že|
golgoĺǫ|52
vamъ|ty
ako|
vьxakъ|pron_hard
pušћǞjęjь|54
ženǫ|fem_a
svojǫ|pron_soft
razvě|
slovese|nt_S
ĺubodějьnajego|adj_hard
tvoritъ|40
jǫ|jь
perĺuby|fem_uu
dějǞti|53
i|
jьže|jьže
potьpěgǫ|fem_a
pojemĺetъ|52_abl
perĺuby|fem_uu
tvoritъ|40
paky|
slyšǞste|31
ako|
rečeno|11
bystъ|byti
drevĺьńemъjimъ|adj_soft
ne|
vъ|
lъžǫ|fem_ja
klьneši|12
sę|sę
vъzdasi|dati
že|
gospodi|masc_i
klętvy|fem_a
tvoję|pron_soft
azъ|azъ
že|
golgoĺǫ|52
vamъ|ty
ne|
klęti|12
sę|sę
otъnǫdь|
ni|
nebomь|nt_S
ako|
perstolъ|masc_o
jestъ|byti
božьjь|adj_ij
ni|
zemĺejǫ|fem_ja
ako|
podъnožьje|nt_jo
jestъ|byti
nogama|fem_a
jego|jь
ni|
ijerusalimomь|masc_o
ako|
gordъ|masc_o
jestъ|byti
velikajego|adj_hard
kěsaŕǞ|masc_ar
ni|
golvojǫ|fem_a
svojejǫ|pron_soft
klьni|12
sę|sę
ako|
ne|
možeši|11
volsa|masc_o
jedinogo|pron_hard
běla|adj_hard
li|
čŕ̥na|adj_hard
sъtvoriti|40
bǫdi|byti
že|
slovo|nt_S
vaše|pron_soft
????|
????|
i|
ni|
ni|
lixoje|adj_hard
bo|
seju|sь
otъ|
neprijǞzni|fem_i
jestъ|byti
slyšǞste|31
ako|
rečeno|11
bystъ|byti
oko|oko
za|
oko|oko
i|
zǫbъ|masc_o
za|
zǫbъ|masc_o
azъ|azъ
že|
golgoĺǫ|52
vamъ|ty
ne|
protiviti|40
sę|sę
zъlujemu|adj_hard
nъ|
aћe|
kъto|kъto
tę|ty
udaritъ|40
vъ|
desnǫjǫ|adj_hard
olnitǫ|fem_a
obvorti|40
jemu|jь
i|
drugǫjǫ|adj_hard
i|
xotęћujemu|will
sǫdъ|masc_o
prijęti|12
﻿sъ|
tobojǫ|ty
i|
rizǫ|fem_a
tvojǫ|pron_soft
vъzęti|12
otъpusti|40
jemu|jь
i|
sorčikǫ|fem_a_PV3
tvojǫ|pron_soft
i|
aћe|
kъto|kъto
pojьmetъ|12
tę|ty
po|
silě|fem_a
popьrišče|nt_jo
jedino|pron_hard
jьdi|jьti
﻿sъ|
ńimь|jь
dъvě|pron_hard
prosęћujemu|40
u|
tebe|ty
daji|53
i|
xotęћǞjego|will
otъ|
tebe|ty
zajęti|12
ne|
otъvorti|40
slyšǞste|31
ako|
rečeno|11
jestъ|byti
vъžĺubiši|40
jьskrьńǞjego|adj_soft
svojego|pron_soft
i|
vъznenavidiši|viděti
vorga|masc_o
svojego|pron_soft
azъ|azъ
že|
golgoĺǫ|52
vamъ|ty
ĺubite|40
vorgy|masc_o
vašę|pron_soft
bolgoslovite|40
klьnǫћęję|12
vy|ty
dobro|adj_hard
tvorite|40
nenavidęћemъjimъ|viděti
vasъ|ty
i|
modlite|40
za|
tvoręћęję|40
vamъ|ty
napasti|fem_i
i|
jьzgonęћęję|40
vy|ty
da|
bǫdete|byti
synove|masc_u
otьka|masc_o_PV3
vašego|pron_soft
jьže|jьže
jestъ|byti
na|
nebesьxъ|nt_S
ako|
sl̥nьke|nt_o_PV3
svoje|pron_soft
sьjǞjetъ|54
na|
zъly|adj_hard
i|
bolgy|adj_hard
i|
dъžђitъ|40
na|
pravьdьny|adj_hard
i|
na|
nepravьdьny|adj_hard
aћe|
bo|
ĺubite|40
ĺubęћęję|40
vy|ty
kǫjǫ|kъjь
mьzdǫ|fem_a
jьmate|have
ne|
i|
mytaŕe|masc_ar
li|
toђe|pron_hard_ђe
tvorętъ|40
i|
aћe|
kělujete|61
drugy|masc_o
vašę|pron_soft
tъkъmo|
čьto|čьto
lixo|adj_hard
tvorite|40
ne|
i|
mytaŕe|masc_ar
li|
tako|
tvorętъ|40
bǫděte|byti
ubo|
vy|ty
sъvŕ̥šeni|adj_hard
ako|
i|
otьkь|masc_o_PV3
vašь|pron_soft
nebesьskъjь|adj_hard
sъvŕ̥šenъ|adj_hard
jestъ|byti
vъnemĺěte|52_abl
milostyńę|fem_ji
vašeję|pron_soft
ne|
tvoriti|40
perdъ|
čьlověky|masc_o
da|
vidimi|viděti
bǫdete|byti
jimi|jь
aћe|
li|
že|
ni|
mьzdy|fem_a
ne|
jьmate|have
otъ|
otьka|masc_o_PV3
vašego|pron_soft
jьže|jьže
jestъ|byti
na|
nebesьxъ|nt_S
jegъda|
ubo|
tvoriši|40
milostyńǫ|fem_ji
ne|
vъstrǫbi|40
perdъ|
sobojǫ|sę
ako|
üpokriti|masc_o
tvorętъ|40
vъ|
sъnьmiščixъ|nt_jo
i|
vъ|
stьgnaxъ|fem_a
da|
proslavętъ|40
sę|sę
otъ|
čьlověkъ|masc_o
aminь|
golgoĺǫ|52
vamъ|ty
vъsprijьmǫtъ|12
mьzdǫ|fem_a
svojǫ|pron_soft
tebě|ty
že|
tvoręћu|40
milostyńǫ|fem_ji
da|
ne|
čujetъ|čuti
šujika|fem_a_PV3
tvojǞ|pron_soft
čьto|čьto
tvoritъ|40
desnika|fem_a_PV3
tvojǞ|pron_soft
da|
bǫdetъ|byti
milostyńi|fem_ji
tvojǞ|pron_soft
vъ|
tajьně|fem_a
i|
otьkь|masc_o_PV3
tvojь|pron_soft
vidęjь|viděti
vъ|
tajьně|fem_a
vъzdastъ|dati
tebě|ty
avě|
i|
jegъda|
modliši|40
sę|sę
ne|
bǫdi|byti
ako|
i|
likeměri|masc_o
ako|
ĺubętъ|40
na|
sъnьmiščixъ|nt_jo
i|
vъ|
stьgnaxъ|fem_a
i|
na|
orspǫtьjixъ|nt_jo
stojęћe|31
modliti|40
sę|sę
da|
avĺǞjǫtъ|54
sę|sę
čьlověkomъ|masc_o
aminь|
golgoĺǫ|52
vamъ|ty
ako|
vъsprijemĺǫtъ|52_abl
mьzdǫ|fem_a
svojǫ|pron_soft
ty|ty
že|
jegъda|
modliši|40
sę|sę
vъnidi|jьti
vъ|
klětь|fem_i
tvojǫ|pron_soft
i|
zatvori|40
dvьri|fem_i
tvoję|pron_soft
pomodli|40
sę|sę
otьku|masc_o_PV3
tvojemu|pron_soft
vъ|
tajьně|fem_a
i|
otьkь|masc_o_PV3
tvojь|pron_soft
vidęjь|viděti
vъ|
tajьně|fem_a
vъzdastъ|dati
tebě|ty
avě|
modlęћe|40
že|
sę|sę
ne|
lixo|adj_hard
golgoĺite|52
akože|
i|
języčьniki|masc_o
mьnętъ|31
bo|
sę|sę
ako|
vъ|
mъnogě|adj_hard
golgolanьji|nt_jo
svojemь|pron_soft
uslyšǞni|31
bǫdǫtъ|byti
ne|
podobite|40
sę|sę
ubo|
jimъ|jь
věstъ|wote
bo|
otьkь|masc_o_PV3
vašь|pron_soft
jixъže|jьže
terbujǫtъ|61
perђe|
prošenьjǞ|nt_jo
vašego|pron_soft
tako|
ubo|
modlite|40
vy|ty
sę|sę
otьče|masc_o_PV3
našь|pron_soft
jьže|jьže
jesi|byti
na|
nebesьxъ|nt_S
da|
svętitъ|40
sę|sę
jьmę|nt_N
tvoje|pron_soft
da|
prijьdetъ|jьti
kěsaŕьstvьje|nt_jo
tvoje|pron_soft
da|
bǫdetъ|byti
voĺǞ|fem_ja
tvojǞ|pron_soft
ako|
na|
nebese|nt_S
i|
na|
zemĺi|fem_ja
xlěbъ|masc_o
našь|pron_soft
nastavъšǞjego|stati
dьne|den
daђь|dati
namъ|azъ
dьnьsь|
i|
otъpusti|40
namъ|azъ
dl̥gy|masc_o
našę|pron_soft
ako|
i|
my|azъ
otъpušћǞjemъ|54
dl̥žьnikomъ|masc_o
našimъ|pron_soft
i|
ne|
vъvedi|11
nasъ|azъ
vъ|
napastь|fem_i
nъ|
jьzbavi|40
ny|azъ
otъ|
neprijǞzni|fem_i
ako|
tvoje|pron_soft
jestъ|byti
kěsaŕьstvьje|nt_jo
i|
sila|fem_a
i|
slava|fem_a
vъ|
věky|masc_o
aminь|
aћe|
ubo|
otъpušћǞjǫtъ|54
čьlověkomъ|masc_o
sъgrěšenьjǞ|nt_jo
jixъ|jь
otъpustitъ|40
i|
vamъ|ty
otьkь|masc_o_PV3
vašь|pron_soft
nebesьskъjь|adj_hard
aћe|
li|
ne|
otъpušћǞjǫtъ|54
čьlověkomъ|masc_o
sъgrěšenьjь|nt_jo
jixъ|jь
ni|
otьkь|masc_o_PV3
vašь|pron_soft
otъpustitъ|40
sъgrěšenьjь|nt_jo
vašixъ|pron_soft
jegъda|
že|
postite|40
sę|sę
ne|
bǫděte|byti
ako|
i|
üpokriti|masc_o
prosmorђǞjǫtъ|54
bo|
lika|nt_o_PV3
svojǞ|pron_soft
da|
bǫ|byti
sę|sę
avili|40
čьlověkomъ|masc_o
postęћe|40
aminь|
golgoĺǫ|52
vamъ|ty
ako|
vъsprijemĺǫtъ|52_abl
mьzdǫ|fem_a
svojǫ|pron_soft
ty|ty
že|
postę|40
sę|sę
pomaži|52
golvǫ|fem_a
svojǫ|pron_soft
i|
like|nt_o_PV3
tvoje|pron_soft
umъji|18
da|
ne|
aviši|40
sę|sę
čьlověkomъ|masc_o
postę|40
sę|sę
nъ|
otьku|masc_o_PV3
tvojemu|pron_soft
jьže|jьže
jestъ|byti
vъ|
tajьně|fem_a
i|
otьkь|masc_o_PV3
tvojь|pron_soft
vidęjь|viděti
vъ|
tajьně|fem_a
vъzdastъ|dati
tebě|ty
avě|
ne|
sъkryvajite|54
sebě|sę
sъkroviščǞ|nt_jo
na|
zemĺi|fem_ja
jьdeže|
čŕ̥vь|fem_i
i|
tьĺǞ|fem_ja
tьlitъ|40
jьdeže|
tatьje|masc_i
podъkopavajǫtъ|54
i|
kradǫtъ|11
sъkryvajite|54
že|
sebě|sę
sъkroviščǞ|nt_jo
nebese|nt_S
jьdeže|
ni|
čŕ̥vь|fem_i
ni|
tьĺǞ|fem_ja
tьlitъ|40
jьdeže|
tatьje|masc_i
ne|
podъkopavajǫtъ|54
ni|
kradǫtъ|11
jьdeže|
bo|
jestъ|byti
sъkrovišče|nt_jo
vaše|pron_soft
tu|
i|
sŕ̥dьke|nt_o_PV3
vaše|pron_soft
světilьnikъ|masc_o
tělu|nt_S
jestъ|byti
oko|oko
aћe|
ubo|
bǫdetъ|byti
oko|oko
tvoje|pron_soft
prosto|adj_hard
vьxe|vьxь
tělo|nt_S
tvoje|pron_soft
světьlo|adj_hard
bǫdetъ|byti
aћe|
li|
oko|oko
tvoje|pron_soft
lǫkavo|adj_hard
bǫdetъ|byti
vьxe|vьxь
tělo|nt_S
tvoje|pron_soft
tьmьno|adj_hard
bǫdetъ|byti
aћe|
ubo|
světъ|masc_o
jьže|jьže
vъ|
tebě|ty
tьma|fem_a
jestъ|byti
tě|
tьma|fem_a
kolьmi|
nikъjьže|kъjьže
orbъ|masc_o
možetъ|11
dъvěma|pron_hard
gospodьma|masc_i
orbotati|54
li|
bo|
jedinogo|pron_hard
vъznenaviditъ|viděti
a|
drugajego|adj_hard
vъžĺubitъ|40
li|
jedinogo|pron_hard
dŕ̥žitъ|31
sę|sę
a|
o|
drugě|adj_hard
neroditi|40
načьnetъ|12
ne|
možete|11
bogu|masc_o
orbotati|54
i|
mamoně|fem_a
sego|sь
radi|
golgoĺǫ|52
vamъ|ty
ne|
pьkěte|11
sę|sę
dušejǫ|fem_ja
vašejǫ|pron_soft
čьto|čьto
jǞste|eat
li|
čьto|čьto
pьjete|17
ni|
tělomь|nt_S
vašimь|pron_soft
vъ|
čьto|čьto
obvelčete|15
sę|sę
ne|
dušǞ|fem_ja
li|
boĺьši|adj_soft_comp
jestъ|byti
piћę|fem_ja
i|
tělo|nt_S
odeђę|fem_ja
vъzьrite|31
na|
pъtikę|fem_a_PV3
nebesьskyję|adj_hard
ako|
ne|
sějǫtъ|53
ni|
žьńǫtъ|16
ni|
sъbirajǫtъ|54
vъ|
žitьnikǫ|fem_a_PV3
i|
otьkь|masc_o_PV3
vašь|pron_soft
nebesьskъjь|adj_hard
pitějetъ|32
ję|jь
ne|
vy|ty
li|
pače|
jixъ|jь
lučьši|adj_soft_comp
jeste|byti
kъto|kъto
že|
otъ|
vasъ|ty
peky|11
sę|sę
možetъ|11
priložiti|40
tělese|nt_S
svojemь|pron_soft
olkъtь|ten
jedinъ|pron_hard
i|
o|
odeђi|fem_ja
čьto|čьto
sę|sę
pečete|11
sъmotrite|40
krinъ|masc_o
selьnъjixъ|adj_hard
kako|
orstǫtъ|11
ne|
truђǞjǫtъ|54
sę|sę
ni|
prędǫtъ|11
golgoĺǫ|52
že|
