form,lemma,id,lemma_id,sentence_id,pos,morphology
сапогоу,сапогъ,1067959,67775,75107,Nb,-s---md--i
понести,понести,1067960,67054,75107,V-,--pna----i
тъ,тъ,1067961,58908,75108,Pd,-s---mn--i
васъ,вꙑ,1067962,58810,75108,Pp,2p---qg--i
крьститъ,крьстити,1067963,58873,75108,V-,3spia----i
дх҃омь,доухъ,1067964,58909,75108,Nb,-s---mi--i
ст҃ъꙇмь,свѧтъ,1067965,58910,75108,A-,-s---oipwi
ꙇ,и,1067966,58771,75108,C-,---------n
огн҄емь,огнь,1067967,60190,75108,Nb,-s---mi--i
Емоуже,иже,1071147,58800,75109,Pr,-s---md--i
лопата,лопата,1071148,68366,75109,Nb,-s---fn--i
въ,въ,1071149,58774,75109,R-,---------n
рѫкоу,рѫка,1071150,58831,75109,Nb,-d---fl--i
его,и,1071151,58765,75109,Pp,3s---og--i
ꙇ,и,1067973,58771,75110,C-,---------n
потрѣбитъ,потрѣбити,1067974,68367,75110,V-,3spia----i
гоумъно,гоумьно,1067975,68368,75110,Nb,-s---na--i
свое,свои,1067976,58780,75110,Pt,3s---na--i
ꙇ,и,1067977,58771,75111,C-,---------n
съберетъ,събьрати,1067978,60182,75111,V-,3spia----i
пьшеницѫ,пьшеница,1067979,66782,75111,Nb,-s---fa--i
въ,въ,1067980,58774,75111,R-,---------n
житьницѫ,житьница,1067981,66478,75111,Nb,-s---fa--i
а,а,1067982,58820,75521,C-,---------n
плѣвꙑ,плѣва,1067983,68364,75521,Nb,-p---fa--i
съжежетъ,съжещи,1067984,68365,75521,V-,3spia----i
огн҄емь,огнь,1067985,60190,75521,Nb,-s---mi--i
негасимъꙇмь,гасити,1067986,76357,75521,V-,-spppmi-wi
тогда,тъгда,1067987,64413,75113,Df,---------n
приде,прити,1067988,58916,75113,V-,3saia----i
ис҃,исоусъ,1067989,58917,75113,Ne,-s---mn--i
отъ,отъ,1067990,58785,75113,R-,---------n
галилеѩ,галилеꙗ,1067991,59035,75113,Ne,-s---fg--i
на,на,1067992,58783,75113,R-,---------n
ꙇор'данъ,иоръданъ,1067993,58914,75113,Ne,-s---ma--i
къ,къ,1067994,58898,75113,R-,---------n
ꙇоӑноу,иоанъ,1067995,58874,75113,Ne,-s---md--i
крьстити,крьстити,1067996,58873,75113,V-,--pna----i
сѧ,себе,1067997,58829,75113,Pk,3s---qa--i
отъ,отъ,1067998,58785,75113,R-,---------n
н҄его,и,1067999,58765,75113,Pp,3s---mg--i
ꙇо̆анъ,иоанъ,1068000,58874,75115,Ne,-s---mn--i
же,же,1068001,58808,75115,Df,---------n
възбран҄ѣше,възбранꙗти,1068002,69076,75115,V-,3siia----i
емоу,и,1068003,58765,75115,Pp,3s---od--i
гл҃ѧ,глаголати,1068004,58791,75115,V-,-sppamn-si
азъ,азъ,1068005,58807,75116,Pp,1s---mn--i
трѣбоуѭ,трѣбовати,1068006,59293,75116,V-,1spia----i
отъ,отъ,1068007,58785,75116,R-,---------n
тебе,тꙑ,1068008,58769,75116,Pp,2s---mg--i
крьстити,крьстити,1068009,58873,75116,V-,--pna----i
сѧ,себе,1068010,58829,75116,Pk,3s---qa--i
а,а,1068011,58820,75117,C-,---------n
тꙑ,тꙑ,1068012,58769,75117,Pp,2s---mn--i
л҃и҃,ли,1068013,73471,75117,Df,---------n
къ,къ,1068014,58898,75117,R-,---------n
мнѣ,азъ,1068015,58807,75117,Pp,1s---md--i
грѧдеши,грѧсти,1068016,58887,75117,V-,2spia----i
отъвѣштавъ,отъвѣщати,1068017,59092,75118,V-,-supamn-si
же,же,1068018,58808,75118,Df,---------n
ис҃,исоусъ,1068019,58917,75118,Ne,-s---mn--i
рече,рещи,1068020,58793,75118,V-,3saia----i
къ,къ,1068021,58898,75118,R-,---------n
н҄емоу,и,1068022,58765,75118,Pp,3s---md--i
остани,остати,1068023,59350,75119,V-,2spma----i
нꙑн҄ѣ,нꙑнѣ,1068024,64687,75119,Df,---------n
тако,тако,1068025,59223,75120,Df,---------n
бо,бо,1068026,58825,75120,Df,---------n
подобьно,подобьнъ,1068027,60306,75120,A-,-s---nnpsi
намъ,мꙑ,1068028,59257,75120,Pp,1p---qd--i
естъ,бꙑти,1068029,58773,75120,V-,3spia----i
съкончати,съконьчати,1068030,64236,75120,V-,--pna----i
всѣкѫ̆,вьсꙗкъ,1068031,65732,75120,A-,-s---fapsi
правъдѫ,правьда,1068032,66526,75120,Nb,-s---fa--i
тогда,тъгда,1068033,64413,75121,Df,---------n
остави,оставити,1068034,58950,75121,V-,3saia----i
его,и,1068035,58765,75121,Pp,3s---mg--i
крьшть,крьстити,1068036,58873,75522,V-,-supamn-si
сѧ,себе,1068037,58829,75522,Pk,3s---qa--i
ис҃,исоусъ,1068038,58917,75522,Ne,-s---mn--i
ꙇ,и,1068039,58771,75522,C-,---------n
възиде,възити,1068040,65811,75522,V-,3saia----i
отъ,отъ,1068041,58785,75522,R-,---------n
водꙑ,вода,1068042,58907,75522,Nb,-s---fg--i
ꙇ,и,1068043,58771,75124,C-,---------n
се,се,1068044,59292,75124,I-,---------n
отвръзошѧ,отврѣсти,1068045,66653,75124,V-,3paia----i
сѧ,себе,1068046,58829,75124,Pk,3s---qa--i
емоу,и,1068047,58765,75124,Pp,3s---md--i
ꙇ,и,1068048,58771,75125,C-,---------n
видѣ,видѣти,1068049,58918,75125,V-,3saia----i
дх҃ъ,доухъ,1068050,58909,75125,Nb,-s---ma--i
бж҃іи,божии,1068051,59032,75125,A-,-s---mapsi
съxодѧшть,съходити,1068052,58921,75125,V-,-sppama-si
ѣко,ꙗко,1068053,59474,75125,Df,---------n
голѫбь,голѫбь,1068054,58924,75125,Nb,-s---mn--i
ꙇ,и,1068055,58771,75125,C-,---------n
грѧдѫшть,грѧсти,1068056,58887,75125,V-,-sppama-si
на,на,1068057,58783,75125,R-,---------n
н҄ь,и,1068058,58765,75125,Pp,3s---ma--i
ꙇ,и,1068059,58771,75128,C-,---------n
се,се,1068060,59292,75128,I-,---------n
гласъ,гласъ,1068061,58926,75128,Nb,-s---mn--i
съ,съ,1068062,58764,75128,R-,---------n
нб҃се,небо,1068063,58920,75128,Nb,-s---ng--i
гл҃ѧ,глаголати,1068064,58791,75128,V-,-sppamn-si
сь,сь,1068065,59234,75129,Pd,-s---mn--i
естъ,бꙑти,1068066,58773,75129,V-,3spia----i
сн҃ъ,сꙑнъ,1068067,146309,75129,Nb,-s---mn--i
мои,мои,1068068,58929,75129,Ps,1s---mn--i
възл҄юбл҄енъꙇ,възлюбити,1068069,58930,75129,V-,-suppmn-wi
о,о,1068070,58881,75131,R-,---------n
немь,и,1068071,58765,75131,Pp,3s---ml--i
же,же,1068072,58808,75131,Df,---------n
благов[о]лиxъ,благоволити,1068073,58927,75131,V-,1saia----i
тогда,тъгда,1068074,64413,75525,Df,---------n
ис҃,исоусъ,1068075,58917,75525,Ne,-s---mn--i
възведенъ,възвести,1068076,65101,75525,V-,-suppmn-si
бꙑстъ,бꙑти,1068077,58773,75525,V-,3saia----i
дх҃омь,доухъ,1068078,58909,75525,Nb,-s---mi--i
въ,въ,1068079,58774,75525,R-,---------n
поустꙑн҄ѭ,поустꙑни,1068080,58875,75525,Nb,-s---fa--i
ꙇскоусити,искоусити,1068081,64768,75525,V-,--pna----i
сѧ,себе,1068082,58829,75525,Pk,3s---qa--i
отъ,отъ,1068083,58785,75525,R-,---------n
неприѣзни,неприꙗзнь,1068084,66275,75525,Nb,-s---fg--i
ꙇ,и,1068085,58771,75134,C-,---------n
пошть,постити,1068086,66061,75134,V-,-supamn-si
сѧ,себе,1068087,58829,75134,Pk,3s---qa--i
дьниі,дьнь,1068088,58915,75134,Nb,-p---mg--i
к҃,четꙑрe десѧтe,1068089,69884,75134,Ma,-s---mn--i
ꙇ,и,1068090,58771,75134,C-,---------n
ноштиі,нощь,1068091,59412,75134,Nb,-p---ng--i
